,AP_NAME,Airport,Arrival Cancellations,Arrival Diversions,Departure Cancellations,Departure Diversions,Latitude,Longitude,average airborne delay,average airport departure delay,average block delay,average gate arrival delay,average taxi in delay,average taxi out delay,average_gate_departure_delay,average_taxi_out_time,percent on-time airport departures,percent on-time gate arrivals,percent on-time gate departures
0,LUIS MUNOZ MARIN INTL,SJU,241.0,31.0,280.0,72.0,18.439295,-66.002004,1.81,13.13,2.93,12.79,1.0,1.88,11.71,12.89,0.7784,0.7815,0.8056
1,LUIS MUNOZ MARIN INTL,SJU,94.0,64.0,127.0,65.0,18.439295,-66.002004,1.78,13.52,2.86,12.96,1.41,2.2,12.31,13.56,0.7808,0.784,0.8058
2,LUIS MUNOZ MARIN INTL,SJU,141.0,41.0,174.0,62.0,18.439295,-66.002004,1.41,10.55,2.89,10.64,1.33,1.82,9.55,13.15,0.8228,0.8181,0.8417
3,LUIS MUNOZ MARIN INTL,SJU,201.0,55.0,240.0,101.0,18.439295,-66.002004,1.45,12.07,3.67,12.28,1.57,1.96,10.86,13.23,0.7934,0.7899,0.8179
4,LUIS MUNOZ MARIN INTL,SJU,207.0,45.0,258.0,82.0,18.439295,-66.002004,1.65,13.0,3.53,13.4,1.32,1.39,12.21,13.04,0.7815,0.7719,0.7967
5,LUIS MUNOZ MARIN INTL,SJU,159.0,58.0,199.0,57.0,18.439295,-66.002004,1.22,12.28,2.88,11.77,0.95,1.43,11.44,13.29,0.8015,0.7999,0.8168
6,LUIS MUNOZ MARIN INTL,SJU,197.0,29.0,238.0,78.0,18.439295,-66.002004,1.64,13.59,3.75,15.18,1.25,1.85,12.54,14.22,0.781,0.7533,0.8004
7,LUIS MUNOZ MARIN INTL,SJU,278.0,42.0,307.0,70.0,18.439295,-66.002004,1.55,14.97,4.09,16.31,1.71,3.16,12.53,15.22,0.7522,0.7414,0.8014
8,LUIS MUNOZ MARIN INTL,SJU,233.0,44.0,257.0,63.0,18.439295,-66.002004,1.73,14.34,4.19,14.17,1.29,4.28,11.61,15.75,0.7446,0.7611,0.8054
9,LUIS MUNOZ MARIN INTL,SJU,282.0,36.0,315.0,64.0,18.439295,-66.002004,1.63,14.43,4.04,14.65,1.36,3.03,12.74,14.14,0.7464,0.7604,0.7789
10,LUIS MUNOZ MARIN INTL,SJU,289.0,28.0,330.0,55.0,18.439295,-66.002004,1.88,12.43,3.39,12.28,0.79,2.27,11.19,13.84,0.7794,0.7984,0.8019
11,KAHULUI,OGG,85.0,35.0,114.0,34.0,20.89865,-156.430458,1.71,6.44,3.85,7.18,0.87,1.39,5.8,8.58,0.8881,0.8784,0.9007
12,KAHULUI,OGG,168.0,39.0,210.0,40.0,20.89865,-156.430458,1.01,8.0,3.48,8.36,1.01,1.53,7.26,8.64,0.8743,0.8589,0.8871
13,KAHULUI,OGG,91.0,37.0,125.0,48.0,20.89865,-156.430458,0.95,7.21,3.51,7.48,0.9,1.51,6.47,8.59,0.8883,0.8747,0.9
14,KAHULUI,OGG,106.0,27.0,139.0,23.0,20.89865,-156.430458,1.24,6.85,3.18,7.25,0.62,1.46,6.12,8.61,0.8974,0.8803,0.9097
15,KAHULUI,OGG,80.0,27.0,116.0,19.0,20.89865,-156.430458,1.43,6.54,3.94,7.15,0.75,1.56,5.81,8.47,0.8901,0.8718,0.9029
16,KAHULUI,OGG,80.0,18.0,106.0,20.0,20.89865,-156.430458,1.51,6.9,3.64,7.12,0.68,1.28,6.28,8.01,0.8853,0.8749,0.8957
17,KAHULUI,OGG,258.0,22.0,287.0,24.0,20.89865,-156.430458,1.86,10.54,3.52,8.6,0.93,1.56,9.61,7.79,0.8593,0.8606,0.8755
18,KAHULUI,OGG,190.0,16.0,223.0,10.0,20.89865,-156.430458,2.63,7.9,3.15,7.89,0.62,1.04,7.57,7.52,0.8836,0.8719,0.8871
